Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740728839,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,40.85%,"10.16MiB / 20MiB",50.78%,"660MB / 566MB","0B / 0B",12
1740728839,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.21%,"36MiB / 7.637GiB",0.46%,"14MB / 18.5MB","0B / 0B",37
1740728839,539c889625b4,reverse-proxy-api-1,539c889625b4,0.29%,"101MiB / 7.637GiB",1.29%,"10.6MB / 6.89MB","0B / 0B",54
1740728852,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,58.68%,"10.03MiB / 20MiB",50.16%,"668MB / 573MB","0B / 0B",12
1740728852,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.16%,"36.27MiB / 7.637GiB",0.46%,"14.2MB / 18.6MB","0B / 0B",37
1740728852,539c889625b4,reverse-proxy-api-1,539c889625b4,0.31%,"103.2MiB / 7.637GiB",1.32%,"10.7MB / 6.95MB","0B / 0B",54
1740728864,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,66.49%,"10.27MiB / 20MiB",51.37%,"676MB / 579MB","0B / 0B",12
1740728864,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.11%,"36.36MiB / 7.637GiB",0.46%,"14.2MB / 18.7MB","0B / 0B",37
1740728864,539c889625b4,reverse-proxy-api-1,539c889625b4,0.18%,"103.8MiB / 7.637GiB",1.33%,"10.7MB / 6.97MB","0B / 0B",50
1740728876,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,28.90%,"10.27MiB / 20MiB",51.37%,"685MB / 586MB","0B / 0B",12
1740728876,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.20%,"36.53MiB / 7.637GiB",0.47%,"14.3MB / 18.9MB","0B / 0B",37
1740728876,539c889625b4,reverse-proxy-api-1,539c889625b4,0.28%,"107MiB / 7.637GiB",1.37%,"10.8MB / 7.03MB","0B / 0B",55
1740728889,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.957MiB / 20MiB",49.79%,"687MB / 588MB","0B / 0B",12
1740728889,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.29%,"36.46MiB / 7.637GiB",0.47%,"14.3MB / 18.9MB","0B / 0B",37
1740728889,539c889625b4,reverse-proxy-api-1,539c889625b4,0.30%,"106.9MiB / 7.637GiB",1.37%,"10.8MB / 7.03MB","0B / 0B",55
1740728901,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.969MiB / 20MiB",49.84%,"687MB / 588MB","0B / 0B",12
1740728901,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.41%,"36.47MiB / 7.637GiB",0.47%,"14.3MB / 18.9MB","0B / 0B",37
1740728901,539c889625b4,reverse-proxy-api-1,539c889625b4,0.36%,"107MiB / 7.637GiB",1.37%,"10.8MB / 7.03MB","0B / 0B",55
1740728913,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.969MiB / 20MiB",49.84%,"687MB / 588MB","0B / 0B",12
1740728913,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.30%,"36.46MiB / 7.637GiB",0.47%,"14.3MB / 18.9MB","0B / 0B",37
1740728913,539c889625b4,reverse-proxy-api-1,539c889625b4,0.38%,"108.9MiB / 7.637GiB",1.39%,"10.8MB / 7.03MB","0B / 0B",55
1740728925,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.973MiB / 20MiB",49.86%,"687MB / 588MB","0B / 0B",12
1740728925,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.25%,"36.46MiB / 7.637GiB",0.47%,"14.3MB / 18.9MB","0B / 0B",37
1740728925,539c889625b4,reverse-proxy-api-1,539c889625b4,0.30%,"116.4MiB / 7.637GiB",1.49%,"10.8MB / 7.03MB","0B / 0B",55
